"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1983-12-23,"EDM","CGY",22,"Ken Linseman","Jari Kurri","Reggie Lemelin","1",1899-12-31 07:18:00,"EV","Northlands Coliseum","T","H",0,0
1983-12-21,"EDM","WIN",22,NA,NA,"Brian Hayward","2",1899-12-31 03:10:00,"PP","Northlands Coliseum","W","H",0,0
1983-12-21,"EDM","WIN",22,"Jari Kurri",NA,"Brian Hayward","1",1899-12-31 19:48:00,"SH","Northlands Coliseum","W","H",0,0
1983-12-21,"EDM","WIN",22,"Mark Messier","Paul Coffey",NA,"3",1899-12-31 19:41:00,"SH","Northlands Coliseum","W","H",1,0
1983-12-18,"EDM","WIN",22,NA,NA,"Brian Hayward","2",1899-12-31 04:12:00,"EV","Winnipeg Arena","W","A",0,0
1983-12-18,"EDM","WIN",22,"Paul Coffey",NA,"Brian Hayward","1",1899-12-31 10:21:00,"PP","Winnipeg Arena","W","A",0,0
1983-12-17,"EDM","QUE",22,"Paul Coffey","Willy Lindstrom","Dan Bouchard","3",1899-12-31 11:19:00,"EV","Northlands Coliseum","W","H",0,0
1983-12-14,"EDM","NYR",22,"Willy Lindstrom","Jari Kurri","Glen Hanlon","1",1899-12-31 00:08:00,"EV","Madison Square Garden (IV)","W","A",0,0
1983-12-14,"EDM","NYR",22,"Jari Kurri","Paul Coffey","Glen Hanlon","3",1899-12-31 04:40:00,"EV","Madison Square Garden (IV)","W","A",0,0
1983-12-14,"EDM","NYR",22,"Jari Kurri","Charlie Huddy","Glen Hanlon","3",1899-12-31 10:19:00,"PP","Madison Square Garden (IV)","W","A",0,0
1983-12-13,"EDM","NYI",22,"Willy Lindstrom","Paul Coffey","Billy Smith","3",1899-12-31 18:07:00,"PP","Nassau Veterans Memorial Coliseum","L","A",0,0
1983-11-30,"EDM","PHI",22,"Jari Kurri","Grant Fuhr","Bob Froese","2",1899-12-31 16:51:00,"EV","Northlands Coliseum","T","H",0,0
1983-11-25,"EDM","MNS",22,"Kevin Lowe","Jari Kurri","Gilles Meloche","1",1899-12-31 11:55:00,"EV","Metropolitan Sports Center","T","A",0,0
1983-11-21,"EDM","WIN",22,"Paul Coffey","Jari Kurri","Brian Hayward","2",1899-12-31 13:32:00,"PP","Northlands Coliseum","W","H",0,0
1983-11-19,"EDM","NJD",22,"Kevin Lowe","Pat Hughes","Ron Low","1",1899-12-31 05:43:00,"EV","Northlands Coliseum","W","H",0,0
1983-11-19,"EDM","NJD",22,"Jari Kurri","Todd Strueby","Ron Low","2",1899-12-31 12:52:00,"EV","Northlands Coliseum","W","H",0,0
1983-11-19,"EDM","NJD",22,"Glenn Anderson",NA,"Glenn Resch","3",1899-12-31 18:05:00,"SH","Northlands Coliseum","W","H",0,0
1983-11-12,"EDM","DET",22,NA,NA,"Greg Stefan","1",1899-12-31 07:25:00,"EV","Joe Louis Arena","W","A",0,0
1983-11-12,"EDM","DET",22,"Randy Gregg",NA,"Greg Stefan","1",1899-12-31 09:59:00,"EV","Joe Louis Arena","W","A",0,0
1983-11-12,"EDM","DET",22,"Jari Kurri",NA,"Greg Stefan","3",1899-12-31 19:16:00,"EV","Joe Louis Arena","W","A",0,0
1983-11-09,"EDM","WSH",22,"Mark Messier",NA,"Al Jensen","1",1899-12-31 11:27:00,"SH","Capital Center","W","A",0,0
1983-11-08,"EDM","QUE",22,"Jari Kurri","Charlie Huddy","Clint Malarchuk","2",1899-12-31 13:50:00,"EV","Quebec Coliseum","W","A",0,0
1983-11-06,"EDM","WIN",22,"Jari Kurri","Jaroslav Pouzar","Doug Soetaert","2",1899-12-31 16:29:00,"EV","Winnipeg Arena","W","A",0,0
1983-11-06,"EDM","WIN",22,"Jari Kurri","Grant Fuhr","Doug Soetaert","3",1899-12-31 12:39:00,"EV","Winnipeg Arena","W","A",0,0
1983-11-06,"EDM","WIN",22,"Randy Gregg","Grant Fuhr",NA,"3",1899-12-31 19:53:00,"EV","Winnipeg Arena","W","A",1,0
1983-11-06,"EDM","WIN",22,"Jari Kurri",NA,"Doug Soetaert","2",1899-12-31 11:40:00,"SH","Winnipeg Arena","W","A",0,0
1983-11-02,"EDM","WSH",22,NA,NA,"Al Jensen","1",1899-12-31 08:31:00,"EV","Northlands Coliseum","W","H",0,0
1983-11-02,"EDM","WSH",22,"Mark Messier","Jari Kurri","Al Jensen","1",1899-12-31 19:49:00,"PP","Northlands Coliseum","W","H",0,0
