"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1982-02-19,"EDM","HAR",21,"Jari Kurri","Charlie Huddy","Greg Millen","2",1899-12-31 11:28:00,"EV","Northlands Coliseum","W","H",0,0
1982-02-19,"EDM","HAR",21,"Mark Messier",NA,"Greg Millen","3",1899-12-31 09:56:00,"EV","Northlands Coliseum","W","H",0,0
1982-02-19,"EDM","HAR",21,"Jari Kurri","Risto Siltanen","Greg Millen","1",1899-12-31 18:36:00,"PP","Northlands Coliseum","W","H",0,0
1982-02-17,"EDM","MNS",21,"Risto Siltanen",NA,"Don Beaupre","2",1899-12-31 06:48:00,"EV","Northlands Coliseum","W","H",0,0
1982-02-17,"EDM","MNS",21,"Glenn Anderson","Jari Kurri","Don Beaupre","3",1899-12-31 04:45:00,"EV","Northlands Coliseum","W","H",0,0
1982-02-12,"EDM","WSH",21,"Jari Kurri",NA,"Dave Parro","2",1899-12-31 09:02:00,"EV","Northlands Coliseum","W","H",0,0
1982-02-07,"EDM","NYR",21,"Paul Coffey","Jari Kurri","Eddie Mio","3",1899-12-31 11:20:00,"EV","Northlands Coliseum","W","H",0,0
1982-02-03,"EDM","MTL",21,"Paul Coffey","Jari Kurri","Rick Wamsley","2",1899-12-31 19:16:00,"EV","Northlands Coliseum","L","H",0,0
1982-01-31,"EDM","PHI",21,"Paul Coffey","Glenn Anderson","Rick St. Croix","1",1899-12-31 12:58:00,"EV","Northlands Coliseum","W","H",0,0
1982-01-31,"EDM","PHI",21,"Paul Coffey",NA,"Rick St. Croix","2",1899-12-31 07:55:00,"EV","Northlands Coliseum","W","H",0,0
1982-01-31,"EDM","PHI",21,"Matti Hagman","Paul Coffey","Rick St. Croix","3",1899-12-31 05:31:00,"EV","Northlands Coliseum","W","H",0,0
1982-01-29,"EDM","BUF",21,"Dave Lumley","Glenn Anderson","Don Edwards","3",1899-12-31 08:51:00,"EV","Northlands Coliseum","W","H",0,0
1982-01-27,"EDM","CBH",21,"Pat Hughes","Paul Coffey","Tony Esposito","3",1899-12-31 11:39:00,"PP","Chicago Stadium","T","A",0,0
1982-01-26,"EDM","STL",21,"Paul Coffey","Dave Lumley","Gary Edwards","3",1899-12-31 09:49:00,"PP","The Checkerdome","W","A",0,0
1982-01-22,"EDM","VAN",20,"Glenn Anderson","Jari Kurri","Richard Brodeur","3",1899-12-31 13:32:00,"EV","Pacific Coliseum","W","A",0,0
1982-01-20,"EDM","STL",20,"Glenn Anderson","Garry Lariviere","Gary Edwards","1",1899-12-31 09:04:00,"EV","Northlands Coliseum","W","H",0,0
1982-01-20,"EDM","STL",20,"Charlie Huddy",NA,"Gary Edwards","3",1899-12-31 15:30:00,"EV","Northlands Coliseum","W","H",0,0
1982-01-20,"EDM","STL",20,"Charlie Huddy","Paul Coffey","Gary Edwards","2",1899-12-31 18:59:00,"PP","Northlands Coliseum","W","H",0,0
1982-01-16,"EDM","TOR",20,"Glenn Anderson","Paul Coffey","Michel Larocque","2",1899-12-31 12:34:00,"EV","Maple Leaf Gardens","L","A",0,0
1982-01-14,"EDM","PHI",20,"Stan Weir",NA,"Pete Peeters","3",1899-12-31 17:12:00,"EV","The Spectrum","L","A",0,0
1982-01-13,"EDM","WSH",20,"Dave Lumley","Garry Lariviere","Dave Parro","1",1899-12-31 01:58:00,"EV","Capital Center","T","A",0,0
1982-01-09,"EDM","CGY",20,"Jari Kurri","Charlie Huddy","Pat Riggin","1",1899-12-31 07:38:00,"SH","Northlands Coliseum","W","H",0,0
1982-01-06,"EDM","CLR",20,"Kevin Lowe",NA,"Phil Myre","1",1899-12-31 08:24:00,"EV","Northlands Coliseum","W","H",0,0
1982-01-06,"EDM","CLR",20,"Paul Coffey",NA,"Phil Myre","3",1899-12-31 15:41:00,"EV","Northlands Coliseum","W","H",0,0
1982-01-02,"EDM","BOS",20,"Mark Messier",NA,"Marco Baron","2",1899-12-31 04:07:00,"EV","Northlands Coliseum","T","H",0,0
1981-12-30,"EDM","PHI",20,"Dave Lumley",NA,"Pete Peeters","2",1899-12-31 03:54:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-30,"EDM","PHI",20,"Paul Coffey",NA,"Pete Peeters","3",1899-12-31 05:13:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-30,"EDM","PHI",20,"Glenn Anderson","Grant Fuhr",NA,"3",1899-12-31 19:57:00,"EV","Northlands Coliseum","W","H",1,0
1981-12-30,"EDM","PHI",20,"Paul Coffey","Glenn Anderson","Pete Peeters","1",1899-12-31 07:47:00,"PP","Northlands Coliseum","W","H",0,0
1981-12-30,"EDM","PHI",20,"Dave Lumley","Dave Semenko","Pete Peeters","1",1899-12-31 10:12:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-27,"EDM","LAK",20,"Doug Hicks","Mark Messier","Mario Lessard","1",1899-12-31 01:39:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-27,"EDM","LAK",20,"Glenn Anderson","Brett Callighen","Mario Lessard","1",1899-12-31 19:43:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-27,"EDM","LAK",20,"Paul Coffey","Jari Kurri","Mario Lessard","2",1899-12-31 15:11:00,"SH","Northlands Coliseum","W","H",0,0
1981-12-27,"EDM","LAK",20,NA,NA,"Mario Lessard","3",1899-12-31 07:26:00,"SH","Northlands Coliseum","W","H",0,0
1981-12-23,"EDM","VAN",20,"Dave Lumley",NA,"Glen Hanlon","3",1899-12-31 18:46:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-20,"EDM","CGY",20,"Brett Callighen","Pat Hughes","Reggie Lemelin","2",1899-12-31 15:19:00,"EV","Northlands Coliseum","L","H",0,0
1981-12-20,"EDM","CGY",20,"Risto Siltanen","Doug Hicks","Reggie Lemelin","2",1899-12-31 10:25:00,"PP","Northlands Coliseum","L","H",0,0
1981-12-19,"EDM","MNS",20,"Doug Hicks",NA,"Gilles Meloche","1",1899-12-31 06:58:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-19,"EDM","MNS",20,"Jari Kurri","Dave Lumley","Gilles Meloche","1",1899-12-31 14:31:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-19,"EDM","MNS",20,"Stan Weir","Dave Lumley","Gilles Meloche","3",1899-12-31 08:35:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-17,"EDM","CGY",20,"Mark Messier","Garry Lariviere","Pat Riggin","3",1899-12-31 14:41:00,"EV","Stampede Corral","W","A",0,0
1981-12-16,"EDM","CLR",20,"Dave Semenko","Dave Lumley","Glenn Resch","1",1899-12-31 00:59:00,"PP","McNichols Sports Arena","W","A",0,0
1981-12-13,"EDM","NYI",20,"Dave Lumley","Lee Fogolin","Billy Smith","3",1899-12-31 18:58:00,"EV","Northlands Coliseum","W","H",0,0
1981-12-09,"EDM","LAK",20,"Kevin Lowe","Paul Coffey","Doug Keans","2",1899-12-31 08:06:00,"PP","Great Western Forum","T","A",0,0
1981-11-29,"EDM","WIN",20,"Dave Lumley","Paul Coffey","Ed Staniowski","1",1899-12-31 09:44:00,"EV","Winnipeg Arena","W","A",0,0
1981-11-27,"EDM","CBH",20,"Dave Lumley","Doug Hicks","Murray Bannerman","3",1899-12-31 00:29:00,"EV","Northlands Coliseum","W","H",0,0
1981-11-27,"EDM","CBH",20,"Risto Siltanen","Dave Semenko","Murray Bannerman","3",1899-12-31 15:00:00,"EV","Northlands Coliseum","W","H",0,0
1981-11-25,"EDM","LAK",20,"Dave Lumley","Dave Hunter","Jim Rutherford","1",1899-12-31 05:06:00,"EV","Northlands Coliseum","W","H",0,0
1981-11-25,"EDM","LAK",20,"Doug Hicks",NA,"Jim Rutherford","3",1899-12-31 01:30:00,"EV","Northlands Coliseum","W","H",0,0
1981-11-25,"EDM","LAK",20,"Glenn Anderson",NA,"Jim Rutherford","1",1899-12-31 11:08:00,"PP","Northlands Coliseum","W","H",0,0
1981-11-25,"EDM","LAK",20,"Doug Hicks","Risto Siltanen","Jim Rutherford","2",1899-12-31 05:18:00,"PP","Northlands Coliseum","W","H",0,0
1981-11-23,"EDM","DET",20,"Jari Kurri",NA,"Gilles Gilbert","2",1899-12-31 06:05:00,"EV","Northlands Coliseum","W","H",0,0
1981-11-21,"EDM","VAN",20,"Dave Lumley","Dave Semenko","Richard Brodeur","3",1899-12-31 15:27:00,"PP","Northlands Coliseum","W","H",0,0
1981-11-21,"EDM","VAN",20,"Kevin Lowe","Dave Lumley","Richard Brodeur","2",1899-12-31 05:57:00,"PP","Northlands Coliseum","W","H",0,0
1981-11-17,"EDM","STL",20,NA,NA,"Mike Liut","3",1899-12-31 12:50:00,"EV","The Checkerdome","W","A",0,0
1981-11-17,"EDM","STL",20,"Mark Messier","Glenn Anderson","Mike Liut","3",1899-12-31 15:49:00,"EV","The Checkerdome","W","A",0,0
1981-11-15,"EDM","NYR",20,NA,NA,"Steve Weeks","1",1899-12-31 14:42:00,"EV","Madison Square Garden (IV)","W","A",0,0
1981-11-14,"EDM","NYI",20,"Brett Callighen","Garry Unger","Roland Melanson","3",1899-12-31 19:21:00,"EV","Nassau Veterans Memorial Coliseum","T","A",0,0
1981-11-11,"EDM","HAR",20,"Jari Kurri","Brett Callighen","Greg Millen","2",1899-12-31 02:09:00,"EV","Hartford Civic Center","T","A",0,0
1981-11-11,"EDM","HAR",20,"Lee Fogolin",NA,"Greg Millen","3",1899-12-31 15:20:00,"EV","Hartford Civic Center","T","A",0,0
1981-11-04,"EDM","TOR",20,NA,NA,NA,"3",1899-12-31 19:56:00,"EV","Northlands Coliseum","W","H",1,0
1981-11-04,"EDM","TOR",20,"Jari Kurri","Garry Lariviere","Michel Larocque","1",1899-12-31 06:00:00,"EV","Northlands Coliseum","W","H",0,0
1981-10-31,"EDM","QUE",20,"Jari Kurri","Paul Coffey","Dan Bouchard","2",1899-12-31 04:09:00,"EV","Northlands Coliseum","W","H",0,0
1981-10-31,"EDM","QUE",20,"Garry Lariviere",NA,"Michel Plasse","3",1899-12-31 01:54:00,"EV","Northlands Coliseum","W","H",0,0
1981-10-31,"EDM","QUE",20,"Garry Unger","Doug Hicks","Michel Plasse","3",1899-12-31 16:06:00,"EV","Northlands Coliseum","W","H",0,0
1981-10-31,"EDM","QUE",20,"Lee Fogolin","Brett Callighen","Michel Plasse","3",1899-12-31 17:29:00,"EV","Northlands Coliseum","W","H",0,0
1981-10-28,"EDM","NYR",20,"Risto Siltanen","Paul Coffey","Steve Baker","2",1899-12-31 19:04:00,"PP","Madison Square Garden (IV)","W","A",0,0
1981-10-28,"EDM","NYR",20,"Paul Coffey","Risto Siltanen","Steve Baker","2",1899-12-31 19:46:00,"PP","Madison Square Garden (IV)","W","A",0,0
1981-10-24,"EDM","CLR",20,"Paul Coffey","Jari Kurri","Glenn Resch","2",1899-12-31 14:34:00,"PP","McNichols Sports Arena","W","A",0,0
1981-10-23,"EDM","PIT",20,"Brett Callighen","Lee Fogolin","Paul Harrison","1",1899-12-31 08:25:00,"EV","Northlands Coliseum","W","H",0,0
1981-10-20,"EDM","CGY",20,"Paul Coffey","Jari Kurri","Pat Riggin","2",1899-12-31 11:28:00,"EV","Stampede Corral","W","A",0,0
1981-10-18,"EDM","CBH",20,"Glenn Anderson","Paul Coffey","Tony Esposito","1",1899-12-31 01:36:00,"EV","Chicago Stadium","L","A",0,0
1981-10-16,"EDM","CGY",20,"Glenn Anderson","Brett Callighen","Pat Riggin","2",1899-12-31 06:21:00,"EV","Northlands Coliseum","W","H",0,0
1981-10-14,"EDM","WIN",20,"Paul Coffey",NA,"Ed Staniowski","1",1899-12-31 10:55:00,"EV","Northlands Coliseum","L","H",0,0
1981-10-10,"EDM","LAK",20,"Glenn Anderson","Risto Siltanen","Mario Lessard","3",1899-12-31 01:12:00,"PP","Great Western Forum","W","A",0,0
1981-04-04,"EDM","WIN",20,"Brett Callighen","Gary Edwards","Markus Mattsson","3",1899-12-31 05:44:00,"EV","Northlands Coliseum","W","H",0,0
1981-04-03,"EDM","VAN",20,"Jari Kurri",NA,"Richard Brodeur","2",1899-12-31 05:11:00,"EV","Pacific Coliseum","W","A",0,0
1981-03-25,"EDM","HAR",20,"Mark Messier",NA,NA,"3",1899-12-31 19:04:00,"EV","Hartford Civic Center","W","A",1,0
1981-03-21,"EDM","LAK",20,NA,NA,"Mario Lessard","1",1899-12-31 10:30:00,"EV","Northlands Coliseum","T","H",0,0
1981-03-20,"EDM","MNS",20,"Jari Kurri","Risto Siltanen","Don Beaupre","2",1899-12-31 19:53:00,"EV","Northlands Coliseum","T","H",0,0
1981-03-15,"EDM","CGY",20,"Brett Callighen","Jari Kurri","Pat Riggin","3",1899-12-31 10:14:00,"PP","Stampede Corral","T","A",0,0
1981-03-07,"EDM","PHI",20,NA,NA,"Rick St. Croix","1",1899-12-31 04:17:00,"EV","The Spectrum","W","A",0,0
1981-03-07,"EDM","PHI",20,"Brett Callighen",NA,"Rick St. Croix","3",1899-12-31 03:53:00,"EV","The Spectrum","W","A",0,0
1981-03-07,"EDM","PHI",20,"Brett Callighen","Jari Kurri","Rick St. Croix","2",1899-12-31 02:40:00,"PP","The Spectrum","W","A",0,0
1981-03-07,"EDM","PHI",20,"Dave Lumley","Risto Siltanen",NA,"3",1899-12-31 19:18:00,"PP","The Spectrum","W","A",1,0
1981-03-04,"EDM","NYR",20,"Dave Lumley",NA,"Steve Baker","2",1899-12-31 16:22:00,"SH","Madison Square Garden (IV)","T","A",0,0
1981-03-03,"EDM","NYI",20,"Jari Kurri","Kevin Lowe","Billy Smith","3",1899-12-31 05:05:00,"EV","Nassau Veterans Memorial Coliseum","T","A",0,0
1981-03-03,"EDM","NYI",20,"Brett Callighen","Jari Kurri","Billy Smith","2",1899-12-31 02:20:00,"PP","Nassau Veterans Memorial Coliseum","T","A",0,0
1981-02-27,"EDM","DET",20,"Pat Price","Mark Messier",NA,"3",1899-12-31 18:31:00,"EV","Northlands Coliseum","W","H",1,0
1981-02-25,"EDM","PHI",20,"Pat Price","Brett Callighen","Pete Peeters","2",1899-12-31 18:02:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-25,"EDM","PHI",20,"Glenn Anderson","Curt Brackenbury","Pete Peeters","3",1899-12-31 16:00:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-24,"EDM","LAK",20,"Paul Coffey",NA,"Mario Lessard","2",1899-12-31 11:09:00,"PP","Great Western Forum","L","A",0,0
1981-02-18,"EDM","STL",20,"Kevin Lowe","Mark Messier","Ed Staniowski","3",1899-12-31 08:07:00,"SH","Northlands Coliseum","W","H",0,0
1981-02-18,"EDM","STL",20,"Curt Brackenbury","Risto Siltanen","Mike Liut","2",1899-12-31 04:44:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-18,"EDM","STL",20,NA,NA,"Mike Liut","3",1899-12-31 05:49:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-18,"EDM","STL",20,"Paul Coffey","Kevin Lowe","Mike Liut","3",1899-12-31 05:58:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-18,"EDM","STL",20,"Doug Hicks","Risto Siltanen","Ed Staniowski","3",1899-12-31 15:47:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-13,"EDM","QUE",20,"Jari Kurri","Brett Callighen","Dan Bouchard","1",1899-12-31 04:08:00,"EV","Northlands Coliseum","L","H",0,0
1981-02-08,"EDM","CGY",20,"Lee Fogolin","Brett Callighen","Pat Riggin","2",1899-12-31 04:07:00,"EV","Northlands Coliseum","L","H",0,0
1981-02-06,"EDM","WIN",20,"Paul Coffey","Jari Kurri","Pierre Hamel","3",1899-12-31 06:37:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-06,"EDM","WIN",20,"Jari Kurri","Pat Price","Pierre Hamel","3",1899-12-31 14:18:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-06,"EDM","WIN",20,"Kevin Lowe",NA,"Pierre Hamel","3",1899-12-31 06:23:00,"EV","Northlands Coliseum","W","H",0,0
1981-02-04,"EDM","CBH",20,"Doug Hicks","Risto Siltanen","Tony Esposito","2",1899-12-31 08:09:00,"PP","Chicago Stadium","L","A",0,0
1981-01-30,"EDM","CBH",20,"Paul Coffey","Dave Lumley","Tony Esposito","3",1899-12-31 15:34:00,"EV","Northlands Coliseum","W","H",0,0
1981-01-28,"EDM","MTL",20,"Blair MacDonald",NA,"Richard Sevigny","3",1899-12-31 11:14:00,"EV","Northlands Coliseum","W","H",0,0
1981-01-21,"EDM","VAN",19,"Blair MacDonald","Kevin Lowe","Gary Bromley","3",1899-12-31 12:48:00,"PP","Northlands Coliseum","W","H",0,0
1981-01-17,"EDM","STL",19,"Dave Semenko",NA,"Ed Staniowski","3",1899-12-31 16:53:00,"EV","The Checkerdome","L","A",0,0
1981-01-14,"EDM","TOR",19,"Jari Kurri","Brett Callighen","Jim Rutherford","2",1899-12-31 19:25:00,"EV","Maple Leaf Gardens","W","A",0,0
1981-01-14,"EDM","TOR",19,"Doug Hicks",NA,"Jim Rutherford","3",1899-12-31 10:14:00,"EV","Maple Leaf Gardens","W","A",0,0
1981-01-11,"EDM","QUE",19,NA,NA,"Ron Grahame","2",1899-12-31 04:44:00,"SH","Quebec Coliseum","W","A",0,0
1981-01-07,"EDM","WSH",19,"Jari Kurri","Brett Callighen","Dave Parro","1",1899-12-31 12:52:00,"EV","Northlands Coliseum","W","H",0,0
1981-01-07,"EDM","WSH",19,"Dave Hunter",NA,"Dave Parro","2",1899-12-31 19:35:00,"SH","Northlands Coliseum","W","H",0,0
1981-01-03,"EDM","TOR",19,"Paul Coffey","Jari Kurri","Vincent Tremblay","1",1899-12-31 02:44:00,"EV","Northlands Coliseum","W","H",0,0
1980-12-30,"EDM","CGY",19,"Pat Price","Mark Messier","Reggie Lemelin","3",1899-12-31 15:51:00,"PP","Stampede Corral","L","A",0,0
1980-12-23,"EDM","LAK",19,NA,NA,"Doug Keans","2",1899-12-31 04:38:00,"EV","Great Western Forum","L","A",0,0
1980-12-23,"EDM","LAK",19,"Mark Messier",NA,"Doug Keans","3",1899-12-31 05:18:00,"EV","Great Western Forum","L","A",0,0
1980-12-23,"EDM","LAK",19,"Dave Semenko","Jari Kurri","Doug Keans","3",1899-12-31 15:03:00,"PP","Great Western Forum","L","A",0,0
1980-12-07,"EDM","HAR",19,"Blair MacDonald","Charlie Huddy","Mike Veisor","1",1899-12-31 18:35:00,"EV","Northlands Coliseum","W","H",0,0
1980-12-05,"EDM","NYR",19,"Charlie Huddy","Mark Messier","Wayne Thomas","2",1899-12-31 10:59:00,"EV","Northlands Coliseum","L","H",0,0
1980-11-29,"EDM","BOS",19,"Blair MacDonald","Jari Kurri","Rogie Vachon","1",1899-12-31 01:51:00,"EV","Boston Garden","L","A",0,0
1980-11-26,"EDM","CBH",19,"Blair MacDonald","Jari Kurri","Tony Esposito","2",1899-12-31 16:06:00,"EV","Northlands Coliseum","W","H",0,0
1980-11-16,"EDM","CBH",19,"Don Ashby","Blair MacDonald","Tony Esposito","1",1899-12-31 13:50:00,"EV","Chicago Stadium","W","A",0,0
1980-11-15,"EDM","TOR",19,"Blair MacDonald","Risto Siltanen","Jiri Crha","2",1899-12-31 14:20:00,"PP","Maple Leaf Gardens","L","A",0,0
1980-11-03,"EDM","PIT",19,"Mark Messier","Curt Brackenbury","Greg Millen","2",1899-12-31 10:08:00,"EV","Northlands Coliseum","T","H",0,0
1980-11-03,"EDM","PIT",19,"Glenn Anderson","Matti Hagman","Greg Millen","1",1899-12-31 13:37:00,"PP","Northlands Coliseum","T","H",0,0
1980-10-19,"EDM","NYR",19,"Dave Semenko","Blair MacDonald","Wayne Thomas","3",1899-12-31 11:02:00,"PP","Madison Square Garden (IV)","W","A",0,0
1980-10-18,"EDM","NYI",19,"Blair MacDonald","Pat Price","Billy Smith","1",1899-12-31 08:07:00,"PP","Nassau Veterans Memorial Coliseum","T","A",0,0
1980-10-18,"EDM","NYI",19,NA,NA,"Billy Smith","2",1899-12-31 16:40:00,"PP","Nassau Veterans Memorial Coliseum","T","A",0,0
1980-10-10,"EDM","QUE",19,"Blair MacDonald",NA,"Michel Plasse","2",1899-12-31 04:48:00,"EV","Northlands Coliseum","L","H",0,0
1980-10-10,"EDM","QUE",19,"Lee Fogolin","Jari Kurri","Michel Plasse","2",1899-12-31 17:11:00,"PP","Northlands Coliseum","L","H",0,0
1980-04-04,"EDM","CLR",19,"Colin Campbell","Dave Hunter","Hardy Astrom","3",1899-12-31 05:47:00,"EV","Northlands Coliseum","W","H",0,0
1980-04-02,"EDM","MNS",19,"Colin Campbell","Dave Hunter","Gary Edwards","2",1899-12-31 09:46:00,"EV","Northlands Coliseum","T","H",0,0
1980-03-29,"EDM","TOR",19,"Don Ashby",NA,"Mike Palmateer","3",1899-12-31 06:41:00,"EV","Maple Leaf Gardens","W","A",0,0
1980-03-29,"EDM","TOR",19,"Blair MacDonald","Don Ashby","Mike Palmateer","1",1899-12-31 19:59:00,"EV","Maple Leaf Gardens","W","A",0,0
1980-03-25,"EDM","ATF",19,NA,NA,"Jim Craig","3",1899-12-31 05:25:00,"EV","Omni Coliseum","W","A",0,0
1980-03-25,"EDM","ATF",19,"Dave Hunter",NA,"Jim Craig","3",1899-12-31 06:28:00,"EV","Omni Coliseum","W","A",0,0
1980-03-21,"EDM","PIT",19,"Lee Fogolin","Blair MacDonald","Greg Millen","3",1899-12-31 01:34:00,"EV","Northlands Coliseum","W","H",0,0
1980-03-21,"EDM","PIT",19,"Kevin Lowe","Dave Semenko","Greg Millen","3",1899-12-31 05:11:00,"EV","Northlands Coliseum","W","H",0,0
1980-03-21,"EDM","PIT",19,"Pat Price",NA,"Greg Millen","3",1899-12-31 12:39:00,"EV","Northlands Coliseum","W","H",0,0
1980-03-15,"EDM","MTL",19,NA,NA,"Denis Herron","3",1899-12-31 04:18:00,"EV","Northlands Coliseum","L","H",0,0
1980-03-12,"EDM","QUE",19,NA,NA,NA,"3",1899-12-31 19:37:00,"EV","Quebec Coliseum","W","A",1,0
1980-03-12,"EDM","QUE",19,NA,NA,"Michel Dion","3",1899-12-31 06:24:00,"EV","Quebec Coliseum","W","A",0,0
1980-03-08,"EDM","PIT",19,"Blair MacDonald",NA,"Greg Millen","2",1899-12-31 15:45:00,"EV","Pittsburgh Civic Arena","L","A",0,0
1980-03-06,"EDM","MTL",19,"Blair MacDonald","Don Ashby","Denis Herron","2",1899-12-31 16:56:00,"EV","Montreal Forum","L","A",0,0
1980-03-04,"EDM","NYI",19,"Blair MacDonald",NA,"Glenn Resch","3",1899-12-31 12:35:00,"EV","Nassau Veterans Memorial Coliseum","L","A",0,0
1980-03-04,"EDM","NYI",19,"Blair MacDonald","Don Ashby","Glenn Resch","3",1899-12-31 03:48:00,"PP","Nassau Veterans Memorial Coliseum","L","A",0,0
1980-02-17,"EDM","STL",19,"Brett Callighen",NA,"Mike Liut","3",1899-12-31 07:34:00,"EV","Northlands Coliseum","T","H",0,0
1980-02-08,"EDM","ATF",19,"Blair MacDonald","Pat Price","Dan Bouchard","1",1899-12-31 18:55:00,"EV","Northlands Coliseum","L","H",0,0
1980-02-06,"EDM","STL",19,"Risto Siltanen","Jim Corsi","Mike Liut","1",1899-12-31 06:15:00,"EV","Northlands Coliseum","L","H",0,0
1980-02-03,"EDM","LAK",19,"Cam Connor","Kevin Lowe","Mario Lessard","2",1899-12-31 10:16:00,"EV","Northlands Coliseum","W","H",0,0
1980-02-01,"EDM","WIN",19,"Risto Siltanen",NA,"Pierre Hamel","1",1899-12-31 05:42:00,"EV","Northlands Coliseum","W","H",0,0
1980-02-01,"EDM","WIN",19,"Doug Hicks","Brett Callighen","Markus Mattsson","3",1899-12-31 13:59:00,"EV","Northlands Coliseum","W","H",0,0
1980-02-01,"EDM","WIN",19,"Risto Siltanen","Doug Hicks","Pierre Hamel","2",1899-12-31 00:10:00,"PP","Northlands Coliseum","W","H",0,0
1980-01-30,"EDM","LAK",19,"Blair MacDonald","Pat Price","Mario Lessard","1",1899-12-31 18:03:00,"EV","Great Western Forum","W","A",0,0
1980-01-27,"EDM","PHI",19,"Brett Callighen","Dave Lumley","Pete Peeters","2",1899-12-31 14:28:00,"EV","Northlands Coliseum","L","H",0,0
1980-01-23,"EDM","PIT",18,"Doug Hicks","Brett Callighen","Rob Holland","3",1899-12-31 19:41:00,"EV","Northlands Coliseum","W","H",0,0
1980-01-19,"EDM","PIT",18,"Risto Siltanen","Doug Hicks","Greg Millen","2",1899-12-31 11:24:00,"PP","Pittsburgh Civic Arena","W","A",0,0
1980-01-19,"EDM","PIT",18,"Blair MacDonald","Pat Price","Greg Millen","3",1899-12-31 06:17:00,"EV","Pittsburgh Civic Arena","W","A",0,0
1980-01-16,"EDM","WSH",18,"Brett Callighen","Blair MacDonald","Wayne Stephenson","2",1899-12-31 11:44:00,"EV","Capital Center","W","A",0,0
1980-01-09,"EDM","QUE",18,"Doug Hicks","Risto Siltanen","Ron Low","2",1899-12-31 10:41:00,"PP","Quebec Coliseum","L","A",0,0
1980-01-05,"EDM","LAK",18,"Kevin Lowe","Risto Siltanen","Mario Lessard","2",1899-12-31 08:47:00,"PP","Northlands Coliseum","T","H",0,0
1980-01-05,"EDM","LAK",18,"Pat Price","Brett Callighen","Mario Lessard","3",1899-12-31 10:51:00,"PP","Northlands Coliseum","T","H",0,0
1979-12-28,"EDM","VAN",18,NA,NA,"Curt Ridley","2",1899-12-31 17:39:00,"SH","Pacific Coliseum","W","A",0,0
1979-12-26,"EDM","CLR",18,"Brett Callighen","Blair MacDonald","Hardy Astrom","1",1899-12-31 13:37:00,"EV","Northlands Coliseum","W","H",0,0
1979-12-22,"EDM","LAK",18,"Blair MacDonald","Brett Callighen","Mario Lessard","2",1899-12-31 18:04:00,"PP","Great Western Forum","L","A",0,0
1979-12-22,"EDM","LAK",18,"Brett Callighen","Kevin Lowe","Mario Lessard","3",1899-12-31 19:55:00,"EV","Great Western Forum","L","A",0,0
1979-12-19,"EDM","DET",18,"Risto Siltanen","Blair MacDonald","Rogie Vachon","1",1899-12-31 01:28:00,"EV","Northlands Coliseum","L","H",0,0
1979-12-19,"EDM","DET",18,"Eddie Mio","Blair MacDonald","Rogie Vachon","2",1899-12-31 00:20:00,"EV","Northlands Coliseum","L","H",0,0
1979-12-16,"EDM","WIN",18,"Blair MacDonald","Mark Messier","Lindsay Middlebrook","3",1899-12-31 06:36:00,"EV","Northlands Coliseum","L","H",0,0
1979-12-14,"EDM","MTL",18,"Kari Makkonen","Blair MacDonald","Michel Larocque","2",1899-12-31 01:40:00,"PP","Northlands Coliseum","W","H",0,0
1979-12-09,"EDM","HAR",18,"Pat Price",NA,"Al Smith","3",1899-12-31 06:36:00,"EV","Northlands Coliseum","W","H",0,0
1979-11-30,"EDM","NYI",18,"Doug Hicks","Risto Siltanen","Billy Smith","1",1899-12-31 14:08:00,"PP","Northlands Coliseum","W","H",0,0
1979-11-21,"EDM","TOR",18,"Risto Siltanen",NA,"Paul Harrison","3",1899-12-31 13:39:00,"PP","Maple Leaf Gardens","T","A",0,0
1979-11-21,"EDM","TOR",18,"Blair MacDonald",NA,"Paul Harrison","2",1899-12-31 08:30:00,"PP","Maple Leaf Gardens","T","A",0,0
1979-11-18,"EDM","BUF",18,"Mark Messier",NA,"Bob Sauve","3",1899-12-31 18:13:00,"EV","Buffalo Memorial Auditorium","L","A",0,0
1979-11-13,"EDM","WSH",18,"Lee Fogolin",NA,"Wayne Stephenson","2",1899-12-31 12:06:00,"EV","Capital Center","W","A",0,0
1979-11-07,"EDM","DET",18,"Brett Callighen","Blair MacDonald","Rogie Vachon","2",1899-12-31 16:06:00,"PP",NA,"L","A",0,0
