"Date","Opponent","GF","GA","W","L","T","Streak","Result","HomeAway"
1982-11-05,"New York Rangers",5,1,6,6,3,"W 2","W","H"
1982-11-08,"Quebec Nordiques",5,5,6,6,4,"T 1","T","A"
1982-11-10,"Pittsburgh Penguins",4,5,6,7,4,"L 1","L","A"
1982-11-11,"New Jersey Devils",5,1,7,7,4,"W 1","W","A"
1982-11-13,"Philadelphia Flyers",4,3,8,7,4,"W 2","W","A"
1982-11-14,"New York Rangers",7,2,9,7,4,"W 3","W","A"
1982-11-16,"New York Islanders",2,4,9,8,4,"L 1","L","A"
1982-11-20,"Vancouver Canucks",3,3,9,8,5,"T 1","T","H"
1982-11-21,"Quebec Nordiques",7,9,9,9,5,"L 1","L","H"
1982-11-24,"Washington Capitals",3,3,9,9,6,"T 1","T","H"
1982-11-26,"Winnipeg Jets",6,5,10,9,6,"W 1","W","A"
1982-11-28,"Detroit Red Wings",7,5,11,9,6,"W 2","W","A"
1982-12-01,"Philadelphia Flyers",2,4,11,10,6,"L 1","L","H"
1982-12-04,"Calgary Flames",7,5,12,10,6,"W 1","W","H"
1982-12-05,"Los Angeles Kings",7,3,13,10,6,"W 2","W","H"
1982-12-07,"St. Louis Blues",3,2,14,10,6,"W 3","W","H"
1982-12-09,"Los Angeles Kings",3,3,14,10,7,"T 1","T","A"
1982-12-11,"Minnesota North Stars",4,5,14,11,7,"L 1","L","A"
1982-12-17,"New Jersey Devils",10,4,15,11,7,"W 1","W","H"
1982-12-19,"Montreal Canadiens",5,2,16,11,7,"W 2","W","H"
1982-12-22,"Minnesota North Stars",8,2,17,11,7,"W 3","W","H"
1982-12-23,"Los Angeles Kings",6,2,18,11,7,"W 4","W","A"
1982-12-26,"Calgary Flames",4,4,18,11,8,"T 1","T","A"
1982-12-29,"Chicago Black Hawks",6,8,18,12,8,"L 1","L","H"
1982-12-31,"Vancouver Canucks",8,1,19,12,8,"W 1","W","A"
1983-01-01,"Winnipeg Jets",5,3,20,12,8,"W 2","W","H"
1983-01-04,"Calgary Flames",6,3,21,12,8,"W 3","W","A"
1983-01-05,"Winnipeg Jets",8,3,22,12,8,"W 4","W","A"
1983-01-07,"Pittsburgh Penguins",7,2,23,12,8,"W 5","W","H"
1983-01-09,"Detroit Red Wings",3,4,23,13,8,"L 1","L","H"
1983-01-11,"St. Louis Blues",7,5,24,13,8,"W 1","W","A"
1983-01-12,"Chicago Black Hawks",10,4,25,13,8,"W 2","W","A"
1983-01-15,"Minnesota North Stars",10,4,26,13,8,"W 3","W","A"
1983-01-18,"Los Angeles Kings",3,3,26,13,9,"T 1","T","A"
1983-01-19,"Vancouver Canucks",9,4,27,13,9,"W 1","W","H"
1983-01-22,"Vancouver Canucks",3,4,27,14,9,"L 1","L","A"
1983-01-23,"Los Angeles Kings",8,6,28,14,9,"W 1","W","H"
1983-01-26,"Toronto Maple Leafs",6,6,28,14,10,"T 1","T","H"
1983-01-29,"Calgary Flames",5,4,29,14,10,"W 1","W","H"
1983-01-30,"New York Islanders",2,4,29,15,10,"L 1","L","H"
1983-02-03,"Los Angeles Kings",4,7,29,16,10,"L 2","L","H"
1983-02-04,"Montreal Canadiens",7,3,30,16,10,"W 1","W","H"
1983-02-11,"Quebec Nordiques",7,3,31,16,10,"W 2","W","H"
1983-02-14,"Montreal Canadiens",2,4,31,17,10,"L 1","L","A"
1983-02-17,"Philadelphia Flyers",3,7,31,18,10,"L 2","L","A"
1983-02-19,"Pittsburgh Penguins",10,7,32,18,10,"W 1","W","A"
1983-02-20,"Buffalo Sabres",5,4,33,18,10,"W 2","W","A"
1983-02-22,"Calgary Flames",1,4,33,19,10,"L 1","L","A"
1983-02-23,"Washington Capitals",6,3,34,19,10,"W 1","W","H"
1983-02-25,"St. Louis Blues",5,5,34,19,11,"T 1","T","H"
1983-02-27,"Winnipeg Jets",3,0,35,19,11,"W 1","W","H"
1983-03-01,"New Jersey Devils",4,3,36,19,11,"W 2","W","A"
